Q10,Q50,Q90
87.96846008300781,150.0049591064453,409.7113952636719
103.81656646728516,143.6713104248047,294.46405029296875
102.2471923828125,143.43597412109375,289.8996887207031
102.51581573486328,146.58837890625,462.641845703125
101.17503356933594,148.34747314453125,466.5306701660156
101.79869079589844,152.0420684814453,346.1850891113281
100.95084381103516,150.99090576171875,470.2580871582031
103.964111328125,144.63064575195312,452.2606506347656
103.2413101196289,144.80494689941406,577.236083984375
101.47286224365234,143.35003662109375,398.6578674316406
100.5302734375,149.03912353515625,370.583251953125
96.38479614257812,148.1875762939453,396.7548522949219
100.28323364257812,147.88185119628906,344.3863220214844
101.70665740966797,145.2616424560547,421.2948303222656
102.63599395751953,141.43104553222656,229.25543212890625
101.9157485961914,144.7074737548828,307.4435119628906
98.37788391113281,146.6409912109375,438.30596923828125
97.25396728515625,150.39784240722656,410.00469970703125
100.0726318359375,149.16952514648438,361.0005798339844
104.19974517822266,145.08053588867188,428.38525390625
104.71453857421875,141.4429473876953,512.0123901367188
67.99772644042969,145.74147033691406,255.3682861328125
97.8096694946289,148.00270080566406,294.8407897949219
94.88859558105469,150.65768432617188,386.3460388183594
88.19503021240234,148.9507598876953,406.95843505859375
103.74253845214844,141.28240966796875,291.78509521484375
102.25692749023438,141.25100708007812,287.44091796875
102.04869079589844,144.9492950439453,459.7159729003906
100.42620849609375,145.94979858398438,462.72247314453125
100.50029754638672,149.7209014892578,343.5548400878906
101.1540298461914,150.11705017089844,467.654052734375
103.88160705566406,143.0806884765625,448.7572326660156
103.52326965332031,143.15879821777344,573.9252319335938
101.93592071533203,142.1136474609375,395.19305419921875
99.57833099365234,146.76528930664062,366.8841552734375
96.04662322998047,145.09793090820312,393.33197021484375
100.52796173095703,145.84793090820312,342.3902893066406
101.99301147460938,143.44891357421875,418.31341552734375
102.13321685791016,140.24127197265625,225.27243041992188
101.16083526611328,143.02125549316406,305.52508544921875
98.897705078125,143.67958068847656,435.18072509765625
97.7385025024414,147.96224975585938,406.4068603515625
100.54607391357422,146.30508422851562,357.0875244140625
103.72559356689453,143.50318908691406,425.6368713378906
105.31291961669922,139.88038635253906,509.1540832519531
68.02422332763672,144.0357666015625,252.8442840576172
98.00674438476562,146.43727111816406,291.8874206542969
94.51278686523438,149.04925537109375,383.5623474121094
87.90621185302734,145.2781524658203,399.5007019042969
103.28804779052734,136.20362854003906,283.50823974609375
102.20938873291016,137.31248474121094,280.0096740722656
100.89691162109375,141.94532775878906,452.7385559082031
99.69845581054688,141.29737854003906,456.0926513671875
99.09874725341797,144.2454833984375,334.773681640625
99.55369567871094,147.30538940429688,459.9868469238281
102.44621276855469,138.25143432617188,441.3835754394531
103.40684509277344,137.72816467285156,567.1953735351562
101.05533599853516,137.1424560546875,388.388427734375
100.01263427734375,141.23609924316406,359.19720458984375
96.5822982788086,140.7508544921875,386.8243408203125
100.3321762084961,141.35650634765625,335.1608581542969
102.05802154541016,138.97564697265625,410.14129638671875
100.92919921875,135.83572387695312,217.95013427734375
100.74845886230469,139.35150146484375,298.88623046875
100.07201385498047,139.89503479003906,428.3414306640625
97.92538452148438,144.1944580078125,399.4757080078125
100.66307067871094,142.67947387695312,348.1561584472656
103.31903076171875,138.46160888671875,418.14996337890625
104.07733154296875,136.06130981445312,502.18341064453125
67.76005554199219,141.09474182128906,246.34873962402344
96.8053970336914,140.46226501464844,283.7744140625
94.0816879272461,144.5874481201172,376.15966796875
87.3077163696289,145.5598602294922,399.5864562988281
103.80979919433594,137.18507385253906,282.9217834472656
101.96953582763672,137.89620971679688,279.438232421875
101.46526336669922,141.8994598388672,452.1104431152344
99.76368713378906,142.89308166503906,454.8511657714844
100.23690032958984,146.02349853515625,334.2475891113281
99.22210693359375,147.2673797607422,459.8996887207031
101.5133285522461,138.5972900390625,440.2943420410156
102.00547790527344,138.0885467529297,565.8946533203125
100.62801361083984,137.9518280029297,388.4386291503906
99.16163635253906,141.61253356933594,358.5896911621094
96.37635803222656,141.7044677734375,386.54083251953125
100.09119415283203,141.0837860107422,334.62664794921875
100.9107666015625,139.6103973388672,409.7738342285156
100.83102416992188,135.29168701171875,217.36544799804688
100.40542602539062,139.1343994140625,298.8048095703125
99.2279052734375,140.17750549316406,427.666015625
97.44454193115234,144.45570373535156,399.0263366699219
99.86158752441406,142.82363891601562,348.548583984375
102.48709106445312,138.33380126953125,416.9632568359375
103.14523315429688,136.1929931640625,501.4555358886719
67.66898345947266,141.4105224609375,244.185302734375
96.54471588134766,140.88540649414062,283.4043884277344
93.71047973632812,143.56179809570312,376.1359558105469
86.69114685058594,148.14590454101562,406.0331726074219
103.67990112304688,139.7242431640625,289.7148132324219
101.57661437988281,140.60057067871094,285.8912048339844
101.80939483642578,144.5160369873047,458.99188232421875
100.50334167480469,145.14990234375,462.1231384277344
100.44845581054688,149.0183563232422,341.47613525390625
100.72332000732422,148.90213012695312,467.17193603515625
102.41200256347656,142.11497497558594,446.9504089355469
103.25084686279297,141.6977081298828,572.7869262695312
101.7329330444336,141.42288208007812,394.3139343261719
99.62069702148438,145.6903839111328,364.76123046875
96.5124282836914,144.68785095214844,392.8023376464844
100.177001953125,144.68658447265625,341.5442810058594
101.3394775390625,142.6973114013672,416.46136474609375
102.64775848388672,138.44363403320312,224.1712188720703
101.14404296875,142.6724090576172,304.8677978515625
99.34918212890625,142.86607360839844,433.4734191894531
98.58333587646484,148.06666564941406,405.8949279785156
100.39410400390625,147.02145385742188,355.61517333984375
103.86846923828125,142.48287963867188,424.12310791015625
105.21464538574219,140.2370147705078,508.3283386230469
67.97846221923828,144.4484405517578,251.01007080078125
98.12427520751953,144.65167236328125,290.18280029296875
93.80400085449219,147.5712890625,382.24658203125
87.83052825927734,147.6540985107422,404.37835693359375
103.0819320678711,139.95147705078125,288.26129150390625
101.40155029296875,139.69290161132812,283.88232421875
101.1637954711914,143.91644287109375,457.242431640625
100.1170654296875,144.5391082763672,459.8314208984375
100.9570083618164,148.08456420898438,339.14117431640625
99.64730834960938,150.15419006347656,464.5184631347656
103.08261108398438,140.9617919921875,445.4383239746094
103.13707733154297,141.20094299316406,570.8825073242188
101.39220428466797,141.26266479492188,392.53106689453125
99.3026123046875,144.87501525878906,363.89227294921875
96.17172241210938,143.13973999023438,391.1634216308594
99.83255004882812,143.71278381347656,338.5889892578125
100.93994903564453,141.92189025878906,414.96673583984375
102.04122161865234,138.46917724609375,222.01925659179688
100.83963012695312,141.68069458007812,302.9552307128906
99.38716888427734,140.89947509765625,432.4884033203125
97.28468322753906,146.72821044921875,404.05078125
100.4798812866211,145.83047485351562,353.5298156738281
103.01692199707031,142.49281311035156,421.2715148925781
105.43035888671875,137.8535919189453,506.46429443359375
68.00157928466797,142.8226776123047,249.4766845703125
98.25048065185547,144.48666381835938,288.0557861328125
93.99857330322266,146.90684509277344,381.3701171875
87.90890502929688,148.34397888183594,406.298828125
